B02001e1|RACE - Universe:  Total population - Total: -- (Estimate) (should be same as next column)
B19001e15|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $125,000 to $149,999 -- (Estimate)
B19001e16|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $150,000 to $199,999 -- (Estimate)
B19001e17|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $200,000 or more -- (Estimate)
B19013e1|MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Median household income in the past 12 months (in 2010 inflation-adjusted dollars) -- (Estimate)
B25001e1|HOUSING UNITS - Universe:  Housing units - Total: -- (Estimate)
B25002e1|OCCUPANCY STATUS - Universe:  Housing units - Total: -- (Estimate)
B25002e2|OCCUPANCY STATUS - Universe:  Housing units - Total:  Occupied -- (Estimate)
B25002e3|OCCUPANCY STATUS - Universe:  Housing units - Total:  Vacant -- (Estimate)
B25003e1|TENURE - Universe:  Occupied housing units - Total: -- (Estimate)
B25003e2|TENURE - Universe:  Occupied housing units - Total:  Owner occupied -- (Estimate)
B25003e3|TENURE - Universe:  Occupied housing units - Total:  Renter occupied -- (Estimate)
B25004e1|VACANCY STATUS - Universe:  Vacant housing units - Total: -- (Estimate)
B25004e2|VACANCY STATUS - Universe:  Vacant housing units - Total:  For rent -- (Estimate)
B25004e3|VACANCY STATUS - Universe:  Vacant housing units - Total:  Rented, not occupied -- (Estimate)
B25004e4|VACANCY STATUS - Universe:  Vacant housing units - Total:  For sale only -- (Estimate)
B25004e5|VACANCY STATUS - Universe:  Vacant housing units - Total:  Sold, not occupied -- (Estimate)
B25004e6|VACANCY STATUS - Universe:  Vacant housing units - Total:  For seasonal, recreational, or occasional use -- (Estimate)
B25004e7|VACANCY STATUS - Universe:  Vacant housing units - Total:  For migrant workers -- (Estimate)
B25004e8|VACANCY STATUS - Universe:  Vacant housing units - Total:  Other vacant -- (Estimate)
B25063e1|GROSS RENT - Universe:  Renter-occupied housing units - Total: -- (Estimate)
B25063e2|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent: -- (Estimate)
B25063e3|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  Less than $100 -- (Estimate)
B25063e4|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $100 to $149 -- (Estimate)
B25063e5|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $150 to $199 -- (Estimate)
B25063e6|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $200 to $249 -- (Estimate)
B25063e7|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $250 to $299 -- (Estimate)
B25063e8|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $300 to $349 -- (Estimate)
B25063e9|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $350 to $399 -- (Estimate)
B25063e10|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $400 to $449 -- (Estimate)
B25063e11|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $450 to $499 -- (Estimate)
B25063e12|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $500 to $549 -- (Estimate)
B25063e13|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $550 to $599 -- (Estimate)
B25063e14|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $600 to $649 -- (Estimate)
B25063e15|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $650 to $699 -- (Estimate)
B25063e16|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $700 to $749 -- (Estimate)
B25063e17|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $750 to $799 -- (Estimate)
B25063e18|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $800 to $899 -- (Estimate)
B25063e19|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $900 to $999 -- (Estimate)
B25063e20|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $1,000 to $1,249 -- (Estimate)
B25063e21|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $1,250 to $1,499 -- (Estimate)
B25063e22|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $1,500 to $1,999 -- (Estimate)
B25063e23|GROSS RENT - Universe:  Renter-occupied housing units - Total:  With cash rent:  $2,000 or more -- (Estimate)
B25063e24|GROSS RENT - Universe:  Renter-occupied housing units - Total:  No cash rent -- (Estimate)
B25064e1|MEDIAN GROSS RENT (DOLLARS) - Universe:  Renter-occupied housing units paying cash rent - Median gross rent -- (Estimate)
B25075e1|VALUE - Universe:  Owner-occupied housing units - Total: -- (Estimate)
B25075e2|VALUE - Universe:  Owner-occupied housing units - Total:  Less than $10,000 -- (Estimate)
B25075e3|VALUE - Universe:  Owner-occupied housing units - Total:  $10,000 to $14,999 -- (Estimate)
B25075e4|VALUE - Universe:  Owner-occupied housing units - Total:  $15,000 to $19,999 -- (Estimate)
B25075e5|VALUE - Universe:  Owner-occupied housing units - Total:  $20,000 to $24,999 -- (Estimate)
B25075e6|VALUE - Universe:  Owner-occupied housing units - Total:  $25,000 to $29,999 -- (Estimate)
B25075e7|VALUE - Universe:  Owner-occupied housing units - Total:  $30,000 to $34,999 -- (Estimate)
B25075e8|VALUE - Universe:  Owner-occupied housing units - Total:  $35,000 to $39,999 -- (Estimate)
B25075e9|VALUE - Universe:  Owner-occupied housing units - Total:  $40,000 to $49,999 -- (Estimate)
B25075e10|VALUE - Universe:  Owner-occupied housing units - Total:  $50,000 to $59,999 -- (Estimate)
B25075e11|VALUE - Universe:  Owner-occupied housing units - Total:  $60,000 to $69,999 -- (Estimate)
B25075e12|VALUE - Universe:  Owner-occupied housing units - Total:  $70,000 to $79,999 -- (Estimate)
B25075e13|VALUE - Universe:  Owner-occupied housing units - Total:  $80,000 to $89,999 -- (Estimate)
B25075e14|VALUE - Universe:  Owner-occupied housing units - Total:  $90,000 to $99,999 -- (Estimate)
B25075e15|VALUE - Universe:  Owner-occupied housing units - Total:  $100,000 to $124,999 -- (Estimate)
B25075e16|VALUE - Universe:  Owner-occupied housing units - Total:  $125,000 to $149,999 -- (Estimate)
B25075e17|VALUE - Universe:  Owner-occupied housing units - Total:  $150,000 to $174,999 -- (Estimate)
B25075e18|VALUE - Universe:  Owner-occupied housing units - Total:  $175,000 to $199,999 -- (Estimate)
B25075e19|VALUE - Universe:  Owner-occupied housing units - Total:  $200,000 to $249,999 -- (Estimate)
B25075e20|VALUE - Universe:  Owner-occupied housing units - Total:  $250,000 to $299,999 -- (Estimate)
B25075e21|VALUE - Universe:  Owner-occupied housing units - Total:  $300,000 to $399,999 -- (Estimate)
B25075e22|VALUE - Universe:  Owner-occupied housing units - Total:  $400,000 to $499,999 -- (Estimate)
B25075e23|VALUE - Universe:  Owner-occupied housing units - Total:  $500,000 to $749,999 -- (Estimate)
B25075e24|VALUE - Universe:  Owner-occupied housing units - Total:  $750,000 to $999,999 -- (Estimate)
B25075e25|VALUE - Universe:  Owner-occupied housing units - Total:  $1,000,000 or more -- (Estimate)
B25077e1|MEDIAN VALUE (DOLLARS) - Universe:  Owner-occupied housing units - Median value (dollars) -- (Estimate)
